participant_id,domain,word,x_norm,y_norm,devnagri_word
3342,animals,कछुआ,0.5674801181355096,0.2569659439182309,कछुआ
3342,animals,कुत्ता,0.0898710533035432,0.2569659439182309,कुत्ता
3342,animals,डायनासोर,0.8999892794628959,0.1068111370039668,डायनासोर
3342,animals,बंदर,0.0904342220757922,0.4322755489813705,बंदर
3342,animals,मछली,0.4652263182429085,0.2577399258972191,मछली
3342,animals,शेर,0.3282930388269055,0.3773220017586506,शेर
3342,animals,साँप,0.4388213242663255,0.5007739875150232,साँप
3342,body-parts,आंख,0.515608944475657,0.2871517135070894,आंख
3342,body-parts,उंगली,0.3587221808355086,0.5882353093146059,उंगली
3342,body-parts,कान,0.3676055796551596,0.289860679959068,कान
3342,body-parts,जांघ,0.3595615950039635,0.448529406744282,जांघ
3342,body-parts,नाक,0.4418461960381133,0.284829708519085,नाक
3342,body-parts,पाँव,0.4327316424744215,0.4543343601632532,पाँव
3342,body-parts,बाल,0.3604971579271904,0.142777708136508,बाल
3342,foods,कॉफ़ी,0.4285182820565189,0.4609132955612127,कॉफ़ी
3342,foods,चाय,0.5207390115390336,0.4589783110882223,चाय
3342,foods,चावल,0.4855811948343296,0.1745355935586313,चावल
3342,foods,चुकंदर,0.4977955169219028,0.2983745998300179,चुकंदर
3342,foods,दाल,0.409654265757138,0.1726006090856409,दाल
3342,foods,दूध,0.3516269976859603,0.4628482800342031,दूध
3342,foods,नींबू,0.4187560984226159,0.3041795532489891,नींबू
5157,animals,bhaalu,0.7454297831679617,0.5213980775113244,भालू
5157,animals,billi',0.42154948373233,0.4362625473203508,billi'
5157,animals,cheenti,0.5506799749601028,0.7380383325920115,चींटी
5157,animals,cheetah,0.7473881854420892,0.3472852996979257,चीता
5157,animals,haathi,0.6678945145784937,0.0668135113732151,हाथी
5157,animals,khargosh,0.5799534411242581,0.2641109160508763,खरगोश
5157,animals,kutta,0.4984191647858722,0.447895133823234,कुत्ता
5157,animals,lomdi,0.6680205961138211,0.4227225313778079,लोमड़ी
5157,animals,sher,0.782194668729333,0.4323939713367671,शेर
5157,animals,simh,0.7426767324814476,0.4323939713367671,सिंह
5157,body-parts,aankh,0.3179505052899903,0.4053139394516812,आंख
5157,body-parts,baahu,0.6018150598159324,0.360395460746785,बाहु
5157,body-parts,chaati,0.4640945158559521,0.424226964475916,छाती
5157,body-parts,dil,0.4691721909686686,0.4842167507735955,दिल
5157,body-parts,gaal,0.3221564015129434,0.5272009414866999,गाल
5157,body-parts,gala,0.3900730959633174,0.5071864206761237,गला
5157,body-parts,haath,0.5579409625468185,0.4044542296643138,हाथ
5157,body-parts,maatha,0.3199370247197156,0.5863041594448798,माथा
5157,body-parts,naak,0.321824057244546,0.4653037257493607,नाक
5157,body-parts,pair,0.5568167913857539,0.4880853267571792,पैर
5157,body-parts,sir,0.3600335148854726,0.4470085654837345,सिर
5157,body-parts,ungli,0.5992622533809785,0.420788243386016,उंगली
5157,foods,chawal,0.3451699179290309,0.3995110754763057,चावल
5157,foods,doodh,0.2308666684050323,0.3836069166482871,दूध
5157,foods,gehun,0.3434027548563114,0.3221395558046317,गेहूं
5157,foods,idli,0.5079621945819209,0.4136689561774572,इडली
5157,foods,sabzi,0.4086115866437916,0.5046342088959384,सब्ज़ी
5157,foods,sambar,0.4631199609779898,0.410686948533373,सांभर
10147,animals,कुत्ता,0.539771079229791,0.509722597902203,कुत्ता
10147,animals,तेंदुआ,0.4369996636394214,0.4327833378414931,तेंदुआ
10147,animals,शेर,0.4353065187239944,0.3558440777807832,शेर
10147,animals,हाथी,0.543038087592543,0.3154509662489105,हाथी
10147,body-parts,आँख,0.4696106680962273,0.4135485228263156,आँख
10147,body-parts,कान,0.6042379588242507,0.4154720043278334,कान
10147,body-parts,जीभ,0.5378630821016964,0.4116250413247979,जीभ
10147,body-parts,नाक,0.5364662869372332,0.5270339314158627,नाक
10147,body-parts,पैर,0.3359989367122256,0.4924112643885432,पैर
10147,body-parts,हाथ,0.3338078291814946,0.4193189673308689,हाथ
10147,foods,आलू,0.6246096189881324,0.5077991164006852,आलू
10147,foods,खिचड़ी,0.5506740396202403,0.5308808944188982,खिचड़ी
10147,foods,चावल,0.521275403885366,0.4231659303339043,चावल
10147,foods,दाल,0.5763583538343371,0.4231659303339043,दाल
10147,foods,पराठा,0.3938483612070125,0.4212424488323866,पराठा
10147,foods,फल,0.456725523813765,0.646289784509963,फल
10147,foods,रोटी,0.4374436441762865,0.4212424488323866,रोटी
13498,animals,ऊंट,0.5304301722500645,0.4093652237678765,ऊंट
13498,animals,कुत्ता,0.9994640618503744,0.438329742232757,कुत्ता
13498,animals,गधा,1.003087696238761,0.3823316732006547,गधा
13498,animals,घोड़ा,0.991305505960788,0.4943278112648594,घोड़ा
13498,animals,बंदर,0.0039495608369005,0.4402607101304158,बंदर
13498,animals,शेर,0.0038996648822186,0.5252232976273986,शेर
13498,animals,हाथी,0.0039522437415583,0.6063239493290641,हाथी
13498,body-parts,आँखें,0.0337503879276153,0.4499155496187093,आँखें
13498,body-parts,कान,0.0355423917067752,0.5696355592735488,कान
13498,body-parts,गरदन,0.944031820225131,0.5657736234782313,गरदन
13498,body-parts,पेट,0.928090815681277,0.4518465175163679,पेट
13498,body-parts,हाथ,0.9339246836523606,0.5117065223437877,हाथ
13498,body-parts,होंठ,0.0373219840513158,0.509775554446129,होंठ
13498,foods,अनाज,1.0049299080069118,0.2799903451605117,अनाज
13498,foods,गेहूँ,0.9951315251158184,0.3456432536809075,गेहूँ
13498,foods,चावल,1.00335879643413,0.4074342558702178,चावल
13498,foods,दही,0.0039224499163952,0.5464639445016444,दही
13498,foods,दूध,0.007796162864752,0.4730871643906137,दूध
13498,foods,मक्खन,0.0040481562017786,0.3900555447912895,मक्खन
13498,foods,सेब,0.5157719251565541,1.0041033362467566,सेब
13549,animals,ऊँट,0.3797564634028774,0.5914075849333678,ऊँट
13549,animals,कुत्ता,0.3483419100341652,0.3310541020464004,कुत्ता
13549,animals,खरगोश,0.3703640325242682,0.1820410638425916,खरगोश
13549,animals,घोड़ा,0.3369539159294767,0.5314153245708982,घोड़ा
13549,animals,बकरी,0.4105905964077648,0.3697587872941429,बकरी
13549,animals,बाघ,0.1085399957155446,0.7404206187369212,बाघ
13549,animals,बिल्ली,0.363512565122875,0.2613856686004638,बिल्ली
13549,animals,भेड़,0.408827219964194,0.2865437140114965,भेड़
13549,animals,शेर,0.1494949475488738,0.8275061579727642,शेर
13549,animals,हाथी,0.3341943731890162,0.6513998452958374,हाथी
13549,body-parts,आँख,0.2310593751195545,0.5778609454966811,आँख
13549,body-parts,छाती,0.3683415098572928,0.5294800903656572,छाती
13549,body-parts,दिल,0.3371112495366421,0.4162044095914339,दिल
13549,body-parts,पैर,0.5158706986310545,0.1936524694169144,पैर
13549,body-parts,फेफड़ा,0.3912146200597255,0.4162044095914339,फेफड़ा
13549,body-parts,माथा,0.2568273549206875,0.7104889806135516,माथा
13549,body-parts,सिर,0.1853868547256827,0.6997807004268612,सिर
13549,body-parts,हाथ,0.2674174717189875,0.1908141044484902,हाथ
13549,foods,आलू,0.2722489355255554,0.3399561223677739,आलू
13549,foods,केला,0.0911632591202585,0.4482002537455372,केला
13549,foods,गेहूँ,0.4844899979587644,0.249774263026141,गेहूँ
13549,foods,चावल,0.4901791307409521,0.156883018431559,चावल
13549,foods,जलेबी,0.4020839681685572,0.7064895489495029,जलेबी
13549,foods,टमाटर,0.1167359314140129,0.3728551038568701,टमाटर
13549,foods,रसगुल्ला,0.3425260751134479,0.7219714230486,रसगुल्ला
13549,foods,सेब,0.0657726616519361,0.3755644900813042,सेब
20970,animals,bakra,0.1442311561833474,0.2919549258330564,बकरा
20970,animals,bhalu,0.437788791051082,0.2262167306123682,भालू
20970,animals,billi,0.1042994368996356,0.6554484758768617,बिल्ली
20970,animals,chuha,0.1067355282978265,0.5723089936859913,चूहा
20970,animals,gadha,0.4200785495238607,0.5394398960756472,गधा
20970,animals,ghoda,0.4185905674469932,0.6206459019364974,घोड़ा
20970,animals,hathi,0.3799667047756583,0.2436180175825504,हाथी
20970,animals,kutta,0.0496449158096053,0.6206459019364974,कुत्ता
20970,animals,murga,0.1535351357179439,0.2300836832724087,मुर्गा
20970,animals,sher,0.4048906528861777,0.1778798223618621,शेर
20970,body-parts,baal,0.1447626650700196,0.3750944080239268,बाल
20970,body-parts,dimag,0.518270905776875,0.6380471889066796,दिमाग
20970,body-parts,fefde,0.4570786607017473,0.6554484758768617,फेफड़े
20970,body-parts,gurde,0.4735043538392335,0.7231201474275701,गुर्दे
20970,body-parts,hadiyan,0.599918489335688,0.7869248663182381,हड्डियां
20970,body-parts,hath,0.0878798584217086,0.4350321742545542,हाथ
20970,body-parts,hridai,0.5316620478168386,0.7443883870577929,हृदय
20970,body-parts,khoon,0.4807754442649434,0.8159270112685417,खून
20970,body-parts,khopdi,0.1685438781298112,0.4621008428748376,खोपड़ी
20970,body-parts,maanspeshiya,0.6045780431579615,0.6883175734872058,मांसपेशियां
20970,body-parts,pair,0.0969059430597892,0.5220386091054651,पैर
20970,body-parts,pait,0.1427206116597642,0.5645750883659104,पेट
20970,foods,aalu,0.2835682875067359,0.2977553548231171,आलू
20970,foods,baigan,0.2728493082304055,0.3538261683937041,बैंगन
20970,foods,bhindi,0.3325794291868605,0.3325579287634814,भिंडी
20970,foods,chawal,0.1054664811638053,0.6051780912963355,चावल
20970,foods,chicken,0.6133617096264767,0.313223165463279,चिकन
20970,foods,dawaaiya,0.420715298177859,0.746321863387813,दवाइयां
20970,foods,machli,0.5936672082190119,0.3847617896740279,मछली
20970,foods,mutton,0.6632214192342339,0.3905622186640887,मटन
20970,foods,roti,0.0814022814897253,0.5355729434156068,रोटी
23853,animals,गधा,0.3413743294295572,0.5414086259277878,गधा
23853,animals,घोड़ा,0.2697432657821544,0.5379256775353844,घोड़ा
23853,animals,चीता,0.525255836889711,0.294891627315299,चीता
23853,animals,तेंदुआ,0.617671194202437,0.299535599007541,तेंदुआ
